Timestamp,Publisher,Publication,Series,Volume,Book,Page,Note,URL,Surname,Forename,trimmed forename,Middle Name/Initial,Alternate Name,Suffix,3 part fullname,2 part fullname,fullname,SNAC ID,Sex,Race Description,Birth Date,Death Date,State/Country of Birth,State/Country of Death,Biography,Citation
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008253,,Tom,Tom,,,,,,Tom,,M,B,c1843,,,,"Enslaved by George W. Johnson, in Scott County, Kentucky, in 1862.","KYR-0003-092-0150. Eighth Manuscript Census of the United States (1860), Slave Schedules, Kentucky, Scott County, District No. 1, p. 31-32. "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008252,,Gabriella,Gabriella,,,,,,Gabriella,,F,B,c1812,,,,"Enslaved by George W. Johnson, in Scott County, Kentucky, in 1862.","KYR-0003-092-0150. Eighth Manuscript Census of the United States (1860), Slave Schedules, Kentucky, Scott County, District No. 1, p. 31-32. "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008264,,Davey,Davey,,,,,,Davey,,M,B,c1802,,,,"Enslaved by George W. Johnson, in Scott County, Kentucky, in 1862.","KYR-0003-092-0150. Eighth Manuscript Census of the United States (1860), Slave Schedules, Kentucky, Scott County, District No. 1, p. 31-32. "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N001002,Johnson,George,George,Washington,,,George Washington Johnson,George Johnson,George Washington Johnson,30507917,M,W,1811-05-27,1862-04-08,KY,TN,"First governor of the provisional Confederate government of the Commonwealth of Kentucky. Educated at Transylvania University in Lexington, Kentucky. Married to Ann Viley Johnson. Father of Eliza Woolfolk Johnson, Willa Viley Johnson, Madison Conyers Johnson, Martha Lydia Johnson, Junius Ward Johnson, Warren Viley Johnson, Henry Viley Johnson, and Euclid Lane Johnson. Practiced law in Georgetown, Kentucky. Planter in Scott County, Kentucky, and Helena, Arkansas. Member of the Democratic Party. Member of the House of Representatives of the Commonwealth of Kentucky from Scott County from 1838 1840. Owned twenty-six enslaved persons, in Scott County, Kentucky, in 1860. Member of the Southern Rights Party. First provisional Confederate governor of the Commonwealth of Kentucky from November 20, 1861 to April 8, 1862. Died at the Battle of Shiloh, serving under Confederate General John C. Breckinridge.","Lowell H. Harrison, “George W. Johnson (1861-1862)” in Lowell H. Harrison, Ed., Kentucky’s Governors (Lexington: University Press of Kentucky, 2004), 82-84; Eighth Manuscript Census of the United States (1860), Slave Schedules, Kentucky, Scott County, District No 1, p. 31-32."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008172,Johnson,Ann,Ann,Eliza,Viley,,Ann Eliza Johnson,Ann Johnson,Ann Eliza Johnson,42898093,F,W,1815-04-25,1875-08-08,KY,,"Scott County, Kentucky, resident. Kentucky native. Daughter of Willa Viley and Lydia Smith Viley. Married to George Washington Johnson. Mother of of Eliza Woolfolk Johnson, Willa Viley Johnson, Madison Conyers Johnson, Martha Lydia Johnson, Junius Ward Johnson, Warren Viley Johnson, Henry Viley Johnson, and Euclid Lane Johnson. Household owned twenty-six enslaved persons in 1860.","Eighth Manuscript Census of the United States (1860), Population Schedules, Kentucky, Scott County, District No. 1, p. 993. Eighth Manuscript Census of the United States (1860), Slave Schedules, Kentucky, Scott County, District No 1, p. 31-32. Find A Grave, ""Ann Eliza (Viley) Johnson (1815-1875) (1815-1875),"" Memorial #98984670, http://www.findagrave.com/memorial/98984670/ann-eliza-johnson (accessed January 3, 2018)."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008345,Johnson,Willa,Willa,Viley,,,Willa Viley Johnson,Willa Johnson,Willa Viley Johnson,18016137,M,W,1837-03-04,1913-05-05,KY,,"Scott County, Kentucky, farmer. Scott County native. Son of George Washington Johnson and Ann Eliza Viley Johnson. Married to Lilly TIlford Johnson in 1860. Resident of Scott County in 1850.","Find A Grave, ""Maj. Willa Viley Johnson (1837-1913),"" Memorial #84679458, http://www.findagrave.com/memorial/84679458/willa-viley-johnson (accessed January 2 2018). Seventh Manuscript Census of the United States (1850), Population Schedules, Kentucky, Scott County, District No. 2, p. 452A. "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008191,Ward,Junius,Junius,R.,,,Junius R. Ward,Junius Ward,Junius R. Ward,,M,W,1844,,MS,,"Washington County, Mississippi, soldier and planter. Washington County native. Son of Junius R. Ward and Matilda Viley. Private in the 2nd Kentucky Mounted Infantry Regiment (Confederate) in July 1861. Planter in Washington County.","Biographical and Historical Memoirs of Mississippi. Vol. II (Chicago: The Goodspeed Publishing Company, 1891), 985. Compiled Service Records of Confederate Soldiers who Served in Organizations from the State of Kentucky, NARA RG 109, Microfilm Series M319, Roll 0088. Find A Grave, ""Junius R. Ward, Jr (1844-1917),"" Memorial #103628978, http://www.findagrave.com/memorial/103628978/junius-r.-ward (accessed January 8, 2018). "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008230,Duvall,Alvin,Alvin,,,,Alvin  Duvall,Alvin Duvall,Alvin Duvall,60152682,M,W,1813-03-20,1891-11-17,KY,,"Scott County, Kentucky, court of appeals judge. Scott County native. Son of John Alvin Duvall. Married to Virginia Hotlzclaw Duvall in 1843. Father of Henry Duvall, Alvin Duvall, Jr., Virginia Duvall, William Duvall, and Mary Stites Duvall. Graduated from Georgetown College in Georgetown, Kentucky, in 1833. Studied law under James F. Robinson. Graduated from the Law Department at Transylvania University in Lexington, Kentucky, in 1840. Practiced law in Georgetown from 1840 to 1852. Member of the House of Representatives of the Commonwealth of Kentucky from Scott County in 1850. Judge of the ??? Judicial District of the Commonwealth of Kentucky from 1852 to 1856. Judge of the Court of Appeals of the Commonwealth of Kentucky from 1856 to 1864. Chief justice of the Court of Appeals from 1862 to 1864. Removed from the 1864 poll books and ordered arrested by General Stephen G. Burbridge, under suspicion of disloyalty, in August 1864. Fled to Canada for two months. Returned to Georgetown to assume his law practice from 1864 to 1866.","Scott County, Kentucky, court of appeals judge. Scott County native. Son of John Alvin Duvall. Married to Virginia Hotlzclaw Duvall in 1843. Father of Henry Duvall, Alvin Duvall, Jr., Virginia Duvall, William Duvall, and Mary Stites Duvall. Graduated from Georgetown College in Georgetown, Kentucky, in 1833. Studied law under James F. Robinson. Graduated from the Law Department at Transylvania University in Lexington, Kentucky, in 1840. Practiced law in Georgetown from 1840 to 1852. Member of the House of Representatives of the Commonwealth of Kentucky from Scott County in 1850. Judge of the ??? Judicial District of the Commonwealth of Kentucky from 1852 to 1856. Judge of the Court of Appeals of the Commonwealth of Kentucky from 1856 to 1864. Chief justice of the Court of Appeals from 1862 to 1864. Removed from the 1864 poll books and ordered arrested by General Stephen G. Burbridge, under suspicion of disloyalty, in August 1864. Fled to Canada for two months. Returned to Georgetown to assume his law practice from 1864 to 1866."
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008196,Johnson,William,William,Henry,,,William Henry Johnson,William Johnson,William Henry Johnson,,M,W,1813-06-13,1872-12-28,KY,,"Warren County, Mississippi, planter. Scott County, Kentucky, native. Son of William Johnson and Elizabeth ""Betsy"" Payne Johnson. Married to Mary B. Johnson. Father of William H. Johnson. Married to Lucy A. Johnson. Owner of Belle Isle, a cotton plantation, in Warren County, Mississippi. Planter in Warren County in 1850 and 1860. Owned seventy-seven enslaved persons in 1850 and ninety-three in 1860. Colonel in the Confederate Army during the Civil War.","""Death of a Kentuckian, *Courier-Journal (Louisville, Ky.), January 3, 1873, p. 1. Seventh Manuscript Census of the United States (1850), Population Schedules, Mississippi, Warren County, p. 239A. Seventh Manuscript Census of the United States (1850), Slave Schedules, Mississippi, Warren County. Eighth Manuscript Census of the United States (1860), Population Schedules, Mississippi, Warren County, p. 134. Eighth Manuscript Census of the United States (1860), Slave Schedules, Mississippi, Warren County, p. 257A-257B. Smith, Myron J., Jr., The Fight for the Yazoo, August 1862-July 1864: Swamps, Forts and Fleets on Vicksburg's Northern Flank (Jefferson, NC: McFarland & Company, Inc., 2012), 91. Find A Grave, ""William Henry Johnson (1813-1872),"" Memorial #98878640, http://www.findagrave.com/memorial/98878640/william-henry-johnson (accessed January 3, 2018). "
5/21/2018 11:33:00,KHS,CWGK,,,,,,http://discovery.civilwargovernors.org/document/N00008234,Jaquess,James,James,Frazier,,,James Frazier Jaquess,James Jaquess,James Frazier Jaquess,41237066; 33211431,M,W,1819-11-18,1898-06-16,,,"Quincy, Illinois, minister, chaplain, and soldier. Evansville, Indiana, native. Married to Sarah J. Jaquess. Father of Maggie W. Jaquess, Laura J. Jacquess, and William G. Jaquess.Graduated from Indiana Asbury University in 1845. Graduated from Indiana Asbury University with both A.M. and D.D. degrees. Licensed as a minister in 1847. Admitted to the Illinois Conference of the Methodist Episcopal Church. President of Illinois Female College at Jacksonville, Illinois, in 1849. Resumed preaching in 1855. Chaplain of the 6th Illinois Volunteer Cavalry Regiment. Commissioned an officer in 6th Illinois Volunteer Cavalry Regiment on January 9, 1862. Promoted to colonel on August 21, 1862. Mustered out on August 21, 1862. An officer in the 73rd Illinois Volunteer Infantry Regiment from August 1862 to January 1865. Special agent to President Abraham Lincoln in July 1864.","Eighth Manuscript Census of the United States (1860), Population Schedules, Illinois, Adams County, Quincy, First Ward, p. 46. Patricia B. Burnette, James F. Jaquess: Scholar, Soldier and Private Agent for President Lincoln (Jefferson, N.C.: McFarland & Company, 2013). KYR-0003-092-0132. KYR-0003-092-0136. Newlin, William Henry, A History of the Seventy-Third Regiment of Illinois Infantry (Published by Authority of the Regimental Reunion Association of Survivors of the 73d Illinois Infantry Volunteers, 1890), 534-57."
